DATE,LPMB3RA
31 Jan 2000,10455
29 Feb 2000,10730
31 Mar 2000,10718
30 Apr 2000,10348
31 May 2000,10728
30 Jun 2000,10661
31 Jul 2000,10706
31 Aug 2000,10748
30 Sep 2000,10511
31 Oct 2000,10848
30 Nov 2000,10981
31 Dec 2000,11181
31 Jan 2001,11309
28 Feb 2001,11249
31 Mar 2001,11388
30 Apr 2001,11774
31 May 2001,11828
30 Jun 2001,12035
31 Jul 2001,12332
31 Aug 2001,12268
30 Sep 2001,12466
31 Oct 2001,12808
30 Nov 2001,12900
31 Dec 2001,12977
31 Jan 2002,13196
28 Feb 2002,13358
31 Mar 2002,13708
30 Apr 2002,13781
31 May 2002,13562
30 Jun 2002,13511
31 Jul 2002,13391
31 Aug 2002,13708
30 Sep 2002,13456
31 Oct 2002,13431
30 Nov 2002,13471
31 Dec 2002,13799
31 Jan 2003,14129
28 Feb 2003,13790
31 Mar 2003,13814
30 Apr 2003,14032
31 May 2003,14309
30 Jun 2003,14504
31 Jul 2003,14976
31 Aug 2003,14663
30 Sep 2003,14941
31 Oct 2003,14883
30 Nov 2003,14903
31 Dec 2003,14639
31 Jan 2004,14911
29 Feb 2004,15200
31 Mar 2004,15242
30 Apr 2004,15087
31 May 2004,14821
30 Jun 2004,15610
31 Jul 2004,15591
31 Aug 2004,15348
30 Sep 2004,15585
31 Oct 2004,15414
30 Nov 2004,15460
31 Dec 2004,14857
31 Jan 2005,15319
28 Feb 2005,15298
31 Mar 2005,15137
30 Apr 2005,15055
31 May 2005,14981
30 Jun 2005,15119
31 Jul 2005,14788
31 Aug 2005,15237
30 Sep 2005,14946
31 Oct 2005,15200
30 Nov 2005,14936
31 Dec 2005,14926
31 Jan 2006,14984
28 Feb 2006,14646
31 Mar 2006,14170
30 Apr 2006,14575
31 May 2006,14387
30 Jun 2006,14056
31 Jul 2006,14048
31 Aug 2006,14095
30 Sep 2006,14125
31 Oct 2006,14368
30 Nov 2006,14064
31 Dec 2006,14020
31 Jan 2007,14019
28 Feb 2007,13600
31 Mar 2007,13968
30 Apr 2007,13876
31 May 2007,13905
30 Jun 2007,13841
31 Jul 2007,14000
31 Aug 2007,13922
30 Sep 2007,13756
31 Oct 2007,13897
30 Nov 2007,14225
31 Dec 2007,14146
31 Jan 2008,13871
29 Feb 2008,13891
31 Mar 2008,13463
30 Apr 2008,13224
31 May 2008,13329
30 Jun 2008,13017
31 Jul 2008,12906
31 Aug 2008,12789
30 Sep 2008,12733
31 Oct 2008,12459
30 Nov 2008,12251
31 Dec 2008,12134
31 Jan 2009,11964
28 Feb 2009,11612
31 Mar 2009,11762
30 Apr 2009,11695
31 May 2009,11443
30 Jun 2009,11475
31 Jul 2009,11423
31 Aug 2009,11128
30 Sep 2009,11236
31 Oct 2009,11071
30 Nov 2009,11121
31 Dec 2009,11190
31 Jan 2010,11242
28 Feb 2010,11979
31 Mar 2010,11762
