"Title","AWE: Whole Economy Level (£): Seasonally Adjusted Total Pay Excluding Arrears"
"CDID","KAB9"
"Source dataset ID","EMP"
"PreUnit","£"
"Unit",""
"Release date","17-02-2026"
"Next release","19 March 2026"
"Important notes",
"2000","313"
"2001","329"
"2002","339"
"2003","350"
"2004","365"
"2005","382"
"2006","400"
"2007","420"
"2008","434"
"2009","434"
"2010","444"
"2011","455"
"2012","461"
"2013","466"
"2014","471"
"2015","482"
"2016","494"
"2017","505"
"2018","520"
"2019","538"
"2020","547"
"2021","580"
"2022","616"
"2023","659"
"2024","694"
"2025","728"
"2000 Q1","305"
"2000 Q2","310"
"2000 Q3","315"
"2000 Q4","320"
"2001 Q1","324"
"2001 Q2","327"
"2001 Q3","330"
"2001 Q4","334"
"2002 Q1","334"
"2002 Q2","339"
"2002 Q3","341"
"2002 Q4","343"
"2003 Q1","343"
"2003 Q2","348"
"2003 Q3","353"
"2003 Q4","357"
"2004 Q1","359"
"2004 Q2","363"
"2004 Q3","367"
"2004 Q4","372"
"2005 Q1","375"
"2005 Q2","380"
"2005 Q3","385"
"2005 Q4","389"
"2006 Q1","394"
"2006 Q2","398"
"2006 Q3","401"
"2006 Q4","408"
"2007 Q1","417"
"2007 Q2","415"
"2007 Q3","422"
"2007 Q4","425"
"2008 Q1","434"
"2008 Q2","433"
"2008 Q3","435"
"2008 Q4","436"
"2009 Q1","421"
"2009 Q2","438"
"2009 Q3","438"
"2009 Q4","440"
"2010 Q1","442"
"2010 Q2","442"
"2010 Q3","445"
"2010 Q4","448"
"2011 Q1","455"
"2011 Q2","453"
"2011 Q3","455"
"2011 Q4","457"
"2012 Q1","457"
"2012 Q2","460"
"2012 Q3","463"
"2012 Q4","462"
"2013 Q1","459"
"2013 Q2","471"
"2013 Q3","466"
"2013 Q4","467"
"2014 Q1","467"
"2014 Q2","469"
"2014 Q3","470"
"2014 Q4","476"
"2015 Q1","478"
"2015 Q2","481"
"2015 Q3","484"
"2015 Q4","485"
"2016 Q1","488"
"2016 Q2","494"
"2016 Q3","495"
"2016 Q4","497"
"2017 Q1","499"
"2017 Q2","504"
"2017 Q3","507"
"2017 Q4","510"
"2018 Q1","512"
"2018 Q2","517"
"2018 Q3","522"
"2018 Q4","528"
"2019 Q1","529"
"2019 Q2","537"
"2019 Q3","542"
"2019 Q4","543"
"2020 Q1","541"
"2020 Q2","531"
"2020 Q3","550"
"2020 Q4","567"
"2021 Q1","563"
"2021 Q2","578"
"2021 Q3","583"
"2021 Q4","595"
"2022 Q1","604"
"2022 Q2","609"
"2022 Q3","618"
"2022 Q4","632"
"2023 Q1","642"
"2023 Q2","659"
"2023 Q3","667"
"2023 Q4","669"
"2024 Q1","680"
"2024 Q2","690"
"2024 Q3","698"
"2024 Q4","708"
"2025 Q1","718"
"2025 Q2","723"
"2025 Q3","732"
"2025 Q4","738"
"2000 JAN","305"
"2000 FEB","300"
"2000 MAR","311"
"2000 APR","309"
"2000 MAY","311"
"2000 JUN","311"
"2000 JUL","313"
"2000 AUG","315"
"2000 SEP","317"
"2000 OCT","318"
"2000 NOV","320"
"2000 DEC","323"
"2001 JAN","321"
"2001 FEB","325"
"2001 MAR","326"
"2001 APR","326"
"2001 MAY","327"
"2001 JUN","328"
"2001 JUL","328"
"2001 AUG","331"
"2001 SEP","331"
"2001 OCT","333"
"2001 NOV","334"
"2001 DEC","334"
"2002 JAN","333"
"2002 FEB","334"
"2002 MAR","334"
"2002 APR","338"
"2002 MAY","339"
"2002 JUN","340"
"2002 JUL","341"
"2002 AUG","341"
"2002 SEP","342"
"2002 OCT","342"
"2002 NOV","343"
"2002 DEC","343"
"2003 JAN","339"
"2003 FEB","341"
"2003 MAR","349"
"2003 APR","347"
"2003 MAY","348"
"2003 JUN","349"
"2003 JUL","351"
"2003 AUG","352"
"2003 SEP","355"
"2003 OCT","356"
"2003 NOV","357"
"2003 DEC","357"
"2004 JAN","364"
"2004 FEB","352"
"2004 MAR","361"
"2004 APR","362"
"2004 MAY","363"
"2004 JUN","364"
"2004 JUL","365"
"2004 AUG","367"
"2004 SEP","369"
"2004 OCT","372"
"2004 NOV","372"
"2004 DEC","373"
"2005 JAN","379"
"2005 FEB","371"
"2005 MAR","376"
"2005 APR","379"
"2005 MAY","380"
"2005 JUN","380"
"2005 JUL","383"
"2005 AUG","386"
"2005 SEP","387"
"2005 OCT","388"
"2005 NOV","390"
"2005 DEC","390"
"2006 JAN","391"
"2006 FEB","392"
"2006 MAR","398"
"2006 APR","395"
"2006 MAY","397"
"2006 JUN","401"
"2006 JUL","401"
"2006 AUG","401"
"2006 SEP","402"
"2006 OCT","405"
"2006 NOV","407"
"2006 DEC","412"
"2007 JAN","415"
"2007 FEB","419"
"2007 MAR","416"
"2007 APR","412"
"2007 MAY","416"
"2007 JUN","418"
"2007 JUL","420"
"2007 AUG","422"
"2007 SEP","424"
"2007 OCT","423"
"2007 NOV","426"
"2007 DEC","426"
"2008 JAN","429"
"2008 FEB","435"
"2008 MAR","437"
"2008 APR","432"
"2008 MAY","434"
"2008 JUN","433"
"2008 JUL","435"
"2008 AUG","435"
"2008 SEP","435"
"2008 OCT","437"
"2008 NOV","436"
"2008 DEC","436"
"2009 JAN","421"
"2009 FEB","409"
"2009 MAR","433"
"2009 APR","438"
"2009 MAY","437"
"2009 JUN","438"
"2009 JUL","437"
"2009 AUG","438"
"2009 SEP","439"
"2009 OCT","439"
"2009 NOV","440"
"2009 DEC","440"
"2010 JAN","439"
"2010 FEB","446"
"2010 MAR","441"
"2010 APR","442"
"2010 MAY","443"
"2010 JUN","442"
"2010 JUL","443"
"2010 AUG","445"
"2010 SEP","446"
"2010 OCT","447"
"2010 NOV","448"
"2010 DEC","449"
"2011 JAN","458"
"2011 FEB","453"
"2011 MAR","453"
"2011 APR","451"
"2011 MAY","453"
"2011 JUN","456"
"2011 JUL","456"
"2011 AUG","454"
"2011 SEP","454"
"2011 OCT","456"
"2011 NOV","457"
"2011 DEC","457"
"2012 JAN","457"
"2012 FEB","457"
"2012 MAR","457"
"2012 APR","460"
"2012 MAY","460"
"2012 JUN","461"
"2012 JUL","463"
"2012 AUG","464"
"2012 SEP","462"
"2012 OCT","462"
"2012 NOV","463"
"2012 DEC","461"
"2013 JAN","462"
"2013 FEB","462"
"2013 MAR","454"
"2013 APR","478"
"2013 MAY","468"
"2013 JUN","466"
"2013 JUL","466"
"2013 AUG","466"
"2013 SEP","466"
"2013 OCT","466"
"2013 NOV","466"
"2013 DEC","468"
"2014 JAN","469"
"2014 FEB","472"
"2014 MAR","461"
"2014 APR","469"
"2014 MAY","469"
"2014 JUN","470"
"2014 JUL","468"
"2014 AUG","469"
